"","SRR2166176","SRR2167642"
"RWDD2A",5.45073234466652,5.61176856094539
"MAGIX",4.23002011494743,3.09304608915842
"APC2",4.82428193306881,5.0252798373256
"TSPAN15",14.7476672539514,14.281239032262
"BIN3",2.84536430508796,2.33428070413241
"IL11RA",19.8262358245537,13.0128865097079
"MIR361",0,0
"MIR619",0,0
"HIST1H1T",0,0.0427189506377804
"DNAJB14",6.9089245024119,7.01253231443644
"WWC1",0.599008801553748,1.13848801634224
"NINJ1",1.50073376325976,2.2471329577937
"HSPBP1",2.17278624468498,3.48063483403981
"PGRMC1",65.8932119157977,60.4173740432316
"PRPF39",44.479644280304,35.9272784438646
"ACVR1C",0.204719309956822,0.5370554927489
"LINC00106",2.92736098222524,5.02568249344401
"ZBTB3",0.642564961615625,1.08103953818259
"LOC389602",0,0
"IQSEC3",19.3674898130055,22.3995700506948
"GTSF1",0.0828664401766585,0.0486088851948119
"C1QTNF7",0.0160554920554146,0.0714201478153398
"LINC01220",0.1248437495061,0.0854379012755608
"CSNK1A1P1",0.0227305216547178,0.105001848239383
"DHX34",1.82548915183709,2.96706211611963
"LOC574538",0.686690354732639,0.964321993271815
"CSRP2",0.910674179807195,0.940064222786777
"ASGR1",2.2800083843453,2.70877811384035
"C11orf42",0.96806743998221,1.23548292615115
"SLC30A5",4.62343487033857,5.71126667753919
"CRLF3",7.61680872433906,8.9574914500563
"GCLM",3.64946074048225,4.77060334471068
"MIR4662A",0,0
"NR6A1",0.813669078991375,1.38636307013648
"MIR98",0,0
"BDNF",1.19285460606901,2.69867863901135
"SIGMAR1",6.422138332213,8.35244969109287
"LOC643711",0.00568912237530971,0.00584010025855414
"GRM1",13.8672357898174,15.196914222801
